person,imagenum,Male,Asian,White,Black,Baby,Child,Youth,Middle Aged,Senior,Black Hair,Blond Hair,Brown Hair,Bald,No Eyewear,Eyeglasses,Sunglasses,Mustache,Smiling,Frowning,Chubby,Blurry,Harsh Lighting,Flash,Soft Lighting,Outdoor,Curly Hair,Wavy Hair,Straight Hair,Receding Hairline,Bangs,Sideburns,Fully Visible Forehead,Partially Visible Forehead,Obstructed Forehead,Bushy Eyebrows,Arched Eyebrows,Narrow Eyes,Eyes Open,Big Nose,Pointy Nose,Big Lips,Mouth Closed,Mouth Slightly Open,Mouth Wide Open,Teeth Not Visible,No Beard,Goatee,Round Jaw,Double Chin,Wearing Hat,Oval Face,Square Face,Round Face,Color Photo,Posed Photo,Attractive Man,Attractive Woman,Indian,Gray Hair,Bags Under Eyes,Heavy Makeup,Rosy Cheeks,Shiny Skin,Pale Skin,5 o' Clock Shadow,Strong Nose-Mouth Lines,Wearing Lipstick,Flushed Face,High Cheekbones,Brown Eyes,Wearing Earrings,Wearing Necktie,Wearing Necklace
George W Bush,1,1.874951861,-2.092293315,1.912806082,-1.416336285,-1.62999445,-1.013129773,-1.517110847,-0.183318987,-0.083665023,-0.969410356,-0.941230016,-2.206978439,-0.074173918,1.840872497,-0.553178216,-1.506613557,-0.749926268,-0.666287552,0.836401733,-0.536708889,-1.147286935,-1.038903745,-0.60064065,1.116265824,0.036562265,0.609098985,-0.074070822,-1.468808441,1.15211822,-1.723381754,0.198095366,1.821894755,-0.809495976,-1.833864259,0.168238266,-1.019134361,1.535807586,1.014701045,0.143836273,0.320021299,-1.700617335,0.361386247,-0.72580608,-1.457120232,0.733408767,0.139262846,-0.268262142,0.054316908,0.387576792,0.478679605,-0.202782238,0.144351009,-0.574356101,2.28495784,0.069295132,-0.673120693,-1.309756379,-1.936701083,-0.271169346,0.020761343,-1.475183475,-3.430304044,-0.912529918,-0.265156352,0.318960904,-0.02570147,-1.514530311,-2.267507387,-0.651961707,0.727892618,-0.66423863,0.960524042,-0.816859607
George W Bush,2,1.317794253,-2.231582902,1.408788862,-0.701996521,-1.736661743,-1.084145921,-1.112276593,-0.264383093,-0.484575482,-0.69546436,-0.795547366,0.409148098,-0.344998465,1.282039362,-0.914361146,-0.973680051,-0.733535138,-0.842699899,0.984297557,-0.112071098,-1.885982317,-0.577384147,-0.860251694,0.798594517,0.781711795,0.416443447,0.234912426,-1.467267394,0.43272411,-0.912885286,0.09552291,-0.03270771,-0.500607394,-0.378086135,0.148256437,-1.420391669,1.739530839,1.168785087,0.500610772,0.417183377,-0.550683877,-0.82491539,-0.595535552,-0.365267225,-0.035052811,-0.377278703,-0.03162122,0.182816494,0.492668854,-0.495877637,-0.045995844,0.124399515,-0.951206357,0.572124571,-0.260090533,-0.276230188,-0.615185865,-2.04032086,0.615039359,0.015002154,-1.344079654,-2.659233309,-0.546911208,2.588401873,0.628805504,-0.691867954,-1.331209464,-1.406502113,-0.194687993,0.147857016,-0.940473181,-0.017529945,-1.236427295
George W Bush,3,1.756234467,-1.646991897,0.700887723,-1.396275205,-0.735792805,-0.673152443,-1.292483488,-0.333915883,-0.733511719,-0.671829242,-0.396038154,-3.376801605,-0.357328582,1.597577988,-1.149171795,-1.144805747,0.030387454,-1.691945406,1.780079034,0.278544759,-1.595738506,-0.014707578,-1.129323963,0.631041388,0.572001777,0.484456643,0.075623407,-1.273699561,-0.713745433,-0.735803704,-0.023843593,0.600869358,-0.490191473,0.241077331,0.38947513,-1.026567744,0.612746939,0.277557663,-0.361861622,0.52380914,0.127054829,-1.247199109,-0.747144793,0.806590303,0.530397149,0.127420934,-0.068459131,0.297643664,0.390116321,-0.118137258,-0.272595571,-0.39904056,-0.379885346,0.633806459,-1.29395688,-0.315175746,-0.39781707,-1.154717449,-0.150552641,-0.203859562,-1.281796449,-2.984148707,-0.604629034,0.625484455,0.614665491,-1.153070068,-1.681820683,-2.703110891,-0.980178167,0.443759195,-1.301575922,0.632615957,-1.226777218
George W Bush,5,1.558986966,-1.733957458,2.296668124,-3.339138891,-1.439753231,-0.919879744,-1.424245304,-0.711289057,-0.470180222,-1.445698645,-1.279704445,-0.938635744,-1.531075068,1.460401573,-0.405848444,-1.776410255,-0.429523722,-0.544559571,0.590579018,-0.252772998,-0.802579762,-1.061117646,0.033971682,0.06447573,-0.311418926,0.729120274,-0.176743365,-0.828592269,-0.442353268,-1.980501137,0.390896833,0.884977513,-1.210292104,-1.787191719,0.425750686,-0.895098949,-0.140033675,1.072224643,0.241384741,0.761518446,-1.55099795,0.651046987,-0.643508002,-1.304042212,1.051673244,0.248143171,-0.335604111,0.14876631,0.389438147,-0.816705989,-0.761675121,0.163494216,-0.531332078,5.968119339,-0.256892342,-0.70390444,-1.598519732,-2.016614652,-0.193962436,-1.1173447,-1.412548628,0.978364255,-0.716343347,-0.692810747,1.015965657,-0.446907566,-1.832661987,1.908174169,-0.30067776,-1.26600062,-1.164852968,0.410049226,-0.68924216
George W Bush,6,1.826125676,-1.561526075,1.698668196,-1.728011871,-1.52705977,-1.362892084,-0.89610039,-0.346322241,-0.301275415,-1.309461873,-0.910615969,0.027953165,-0.911282013,0.940670115,0.077245822,-1.757347762,-0.497420278,1.290562892,-1.474943285,-0.087689456,-1.03570138,-1.358895558,0.714363396,0.472810352,-1.072800714,1.085860829,-0.30691122,-0.675910987,1.358332885,-1.399695024,0.076929617,0.743930404,-0.568641818,-1.38834843,0.791215181,0.107137951,1.110621593,0.163277119,0.477022229,0.426581467,-1.4852063,-1.542868691,0.202852359,-0.274835099,-1.284298818,0.16363275,-0.312289736,-0.243748137,0.590280132,-2.120990232,-0.289463098,-0.033146648,-0.777616202,5.427967362,0.293545938,0.077044895,-1.105671674,-1.372887135,-0.154522103,-0.231581945,-1.468884432,0.139967931,0.611862857,-1.755273494,0.450602632,0.502460419,-1.121388491,1.526688378,0.674156667,0.370800722,-1.010936993,0.815682089,-0.558579864
George W Bush,7,1.217782046,-1.429852993,0.966714751,-1.291385933,-1.526076791,-0.016388289,-0.284199737,-0.515020431,-0.505522199,-1.118449733,-0.450302679,-0.698430455,-0.769319183,0.868360849,-0.939807367,-1.308758664,-0.743241324,-0.552103124,0.623924636,-0.289713129,-1.548860865,0.279698479,-1.024897909,-0.336447433,-0.161361795,0.353009055,-0.283264738,-1.162837208,-0.634703302,-0.845271357,-0.209533948,0.104241977,-0.728578658,-1.028695904,0.388558329,-1.113693404,0.267194641,1.057235858,-0.133534985,0.808938232,-0.198096936,0.234897694,0.001531693,-0.72102911,1.096116802,1.033074535,-1.031513806,0.26266578,0.332176829,-0.498979156,-0.606442496,-0.137194253,-0.419549797,2.892046847,0.455154797,0.141115935,-0.172025309,-1.636904351,-0.877515501,-0.070985626,-1.023606716,-1.629724332,-0.88036304,0.095431773,-0.142166712,-0.673757375,-1.502160529,-1.705910224,-0.811347103,0.485928896,-1.063185841,0.935001305,-0.818138381
George W Bush,8,1.546423489,-0.430165137,0.284946147,-1.551549262,-2.276421523,-0.639732591,-0.680315409,-0.141363502,-0.285062182,-0.998918592,-0.990458973,-0.176713256,-0.587652091,0.223480136,-1.218946266,-1.246340668,-0.877723834,-1.135664893,1.108069748,-1.193925352,-0.841130086,1.047895619,-1.257217578,-0.565143047,0.592810969,0.291141233,0.415734286,-0.671365592,0.626653231,-0.789727971,0.257431237,0.502489485,-0.670102153,-0.722712365,0.631519169,-2.006256075,0.757515996,0.761151376,0.224039105,-0.279183312,-0.399424535,1.602070989,-1.33955365,-2.254884976,1.171291271,0.548758451,-0.526539879,0.040044791,-0.537916378,-0.276585193,0.13166778,0.372540497,-0.886258425,4.476763635,0.412807874,-0.557731514,-1.214421787,-1.124822962,-0.567374614,0.791230821,-1.272763132,-0.679824433,-1.190068453,-0.885555873,0.221255457,0.328701439,-1.767391651,-1.617190471,-0.083571834,0.737423283,-1.184485438,0.502935834,-0.856223511
George W Bush,9,1.935704921,-0.88126563,0.753807495,-1.010576613,-2.206221786,-0.47396919,-1.559294569,-0.082808879,-0.434781488,-1.830140028,-0.421813333,-1.411212654,-0.948962802,1.139306087,-0.672718101,-0.837817348,-0.503021272,-0.823432521,0.886210584,-1.060005116,-1.332930275,0.845976178,-1.417230229,-0.440461188,1.392085328,0.44708222,-0.176287019,-0.659709814,0.242376943,-0.802020969,-0.451174492,0.774552881,-0.485156082,-0.771903249,-0.151709311,-0.896666528,1.413304088,0.110427931,0.55921453,-0.650547485,-0.068117977,0.639976356,-0.48894648,-1.335456107,0.187601107,-0.194900491,-0.461390886,0.289718538,-0.168603998,-0.757910924,-0.374469934,-0.415364822,-0.656686145,1.170934428,0.078778276,-0.885168881,-0.442472643,-1.280717841,-0.512241249,0.839099439,-0.923802705,-0.546978163,-0.891232163,1.445543526,0.016651897,0.590885249,-1.15082556,-2.327104583,-0.145347258,0.213997482,-0.961770852,0.882063857,-0.506503319
George W Bush,10,1.4702653,-1.299863554,1.837545482,-1.607988873,-1.252800953,-0.31819449,-1.439789753,-0.753091398,0.2756197,-1.120824199,-0.342287786,-2.433482056,-1.164461427,1.097279107,-0.681162324,-1.233210502,-1.173455789,0.150174214,-0.372315173,-0.245119142,-0.798075043,-1.163122191,-0.91585693,1.416361588,0.875253762,1.134334257,-0.089643975,-0.933134712,0.482417572,-0.815787655,-0.036444014,0.546193514,-0.211052123,-0.769024602,0.121718946,-0.344979185,1.655828031,0.146901544,-1.128877394,0.404788448,-1.644473562,-0.360488182,-0.818215719,-0.355199607,0.479089841,0.995393281,-0.70548778,0.12601859,0.040967746,-0.924492728,-0.235664773,-0.538614726,-0.359846857,1.77114374,-0.553253834,-0.233606252,-0.645991591,-2.335431484,-0.123963631,0.132846701,-1.809503915,-0.363704854,-0.555514213,0.316831024,-0.72989703,-0.180745944,-1.173132471,-3.023692017,-0.364456897,-0.128980493,-0.853301486,0.42048095,-0.922748111
George W Bush,11,1.303064402,-1.903413709,1.990829481,-1.790041413,-0.875876035,0.012473513,-1.567147228,-0.975283158,-0.104708798,-1.52331122,-0.289246872,-1.75793336,-1.141569315,-0.005147802,-0.101426574,-1.240979796,-0.914016166,-1.622760902,1.414206105,-0.26882869,-1.345821657,-0.389670623,-0.736507825,0.025331051,0.724858369,0.978076649,-0.244442001,-0.949990301,-0.38504688,-0.830419449,-0.326085167,0.729566487,-0.36111287,-1.207065463,-0.32650666,-1.105110598,1.786534784,0.703151544,-0.691329785,0.461535506,-0.581331534,0.647514277,-0.817958048,-0.869814083,0.934847626,0.580343157,-0.499982787,0.166150637,-0.034562757,-0.989229256,0.239263141,-0.55551762,-0.039738326,4.116172081,0.116281603,-0.120732105,-0.113843024,-1.270605698,-0.209270548,-0.86000902,-1.081044722,0.938217525,-0.617615199,0.522599179,0.031862276,-1.148926068,-1.139297974,-0.809973185,-1.245993355,-0.509983231,-0.764330995,0.494892553,-0.720747573
